;;;weiblich;männlich;
1999;Kehlkopf (C32);40 - 44;15;113;
1999;Kehlkopf (C32);45 - 49;25;204;
1999;Kehlkopf (C32);50 - 54;51;309;
1999;Kehlkopf (C32);55 - 59;41;616;
1999;Kehlkopf (C32);60 - 64;56;714;
1999;Kehlkopf (C32);65 - 69;47;554;
1999;Kehlkopf (C32);70 - 74;44;365;
1999;Kehlkopf (C32);75 - 79;33;303;
1999;Kehlkopf (C32);80 - 84;23;98;
1999;Kehlkopf (C32);85+;24;71;
1999;Lunge (C33-C34);0 - 4;<5;<5;
1999;Lunge (C33-C34);5 - 9;<5;<5;
1999;Lunge (C33-C34);10 - 14;<5;<5;
1999;Lunge (C33-C34);15 - 19;<5;<5;
1999;Lunge (C33-C34);20 - 24;5;7;
1999;Lunge (C33-C34);25 - 29;12;8;
1999;Lunge (C33-C34);30 - 34;33;28;
1999;Lunge (C33-C34);35 - 39;89;168;
1999;Lunge (C33-C34);40 - 44;349;475;
1999;Lunge (C33-C34);45 - 49;389;1.104;
1999;Lunge (C33-C34);50 - 54;732;1.668;
1999;Lunge (C33-C34);55 - 59;1.173;3.979;
1999;Lunge (C33-C34);60 - 64;1.611;6.143;
1999;Lunge (C33-C34);65 - 69;1.622;6.856;
1999;Lunge (C33-C34);70 - 74;1.739;6.750;
1999;Lunge (C33-C34);75 - 79;1.628;4.418;
1999;Lunge (C33-C34);80 - 84;833;1.656;
1999;Lunge (C33-C34);85+;947;1.498;
1999;Thymus (C37);0 - 4;<5;<5;
1999;Thymus (C37);5 - 9;<5;<5;
1999;Thymus (C37);10 - 14;<5;<5;
1999;Thymus (C37);15 - 19;<5;<5;
1999;Thymus (C37);20 - 24;<5;<5;
1999;Thymus (C37);25 - 29;<5;<5;
1999;Thymus (C37);30 - 34;<5;<5;
1999;Thymus (C37);35 - 39;<5;7;
1999;Thymus (C37);40 - 44;10;10;
1999;Thymus (C37);45 - 49;7;14;
1999;Thymus (C37);50 - 54;8;13;
1999;Thymus (C37);55 - 59;11;19;
1999;Thymus (C37);60 - 64;14;26;
1999;Thymus (C37);65 - 69;12;26;
1999;Thymus (C37);70 - 74;14;22;
1999;Thymus (C37);75 - 79;12;13;
1999;Thymus (C37);80 - 84;7;<5;
1999;Thymus (C37);85+;<5;<5;
1999;Herz, Mediastinum u. Pleura (C38);0 - 4;<5;<5;
1999;Herz, Mediastinum u. Pleura (C38);5 - 9;<5;<5;
1999;Herz, Mediastinum u. Pleura (C38);10 - 14;<5;<5;
1999;Herz, Mediastinum u. Pleura (C38);15 - 19;<5;<5;
1999;Herz, Mediastinum u. Pleura (C38);20 - 24;<5;7;
1999;Herz, Mediastinum u. Pleura (C38);25 - 29;<5;<5;
